feature,shap_importance
Sex,0.218504353868017
Pclass,0.13739763511317252
Age_<10,0.03722524680938911
Ticket,0.024828736117173383
Age_30-40,0.01221160191188203
Fare_10-20,0.0
Embarked_Q,0.0
Embarked_C,0.0
Fare_<10,0.0
Fare_50+,0.0
Fare_20-50,0.0
Age_50+,0.0
Age_40-50,0.0
Age_20-30,0.0
Age_10-20,0.0
Parch,0.0
SibSp,0.0
Embarked_S,0.0
