feature,mean_importance
Age_30-40,-0.003579668257400026
Age_40-50,0.0
Embarked_C,0.0
Fare_<10,0.0
Fare_50+,0.0
Fare_20-50,0.0
Fare_10-20,0.0
Age_50+,0.0
Embarked_S,0.0
Age_20-30,0.0
Age_10-20,0.0
Parch,0.0
SibSp,0.0
Embarked_Q,0.0
Ticket,0.004458189406069091
Age_<10,0.03224725899438424
Pclass,0.2814404442006767
Sex,0.9570259356236986
